symbol,yahoo_symbol,company_name,nse_company_name,isin,sector,industry,price,market_cap_cr,trailing_pe,forward_pe,price_to_book,roe_percent,debt_to_equity_percent,revenue_growth_percent,earnings_growth_percent,profit_margin_percent,operating_margin_percent,dividend_yield_percent,cash_conversion_ratio,beta,fifty_two_week_high,fifty_two_week_low,fifty_two_week_position,quality_score,growth_score,valuation_score,size_liquidity_score,buffett_munger_score,graham_value_score,lynch_garp_score,fisher_growth_score,greenblatt_score,marks_risk_score,india_compounder_score,entry_score,quant_score,investor_master_score,estimated_fair_value,strong_buy_below,accumulate_below,expensive_above,quant_zone,red_flags,investor_style_match,notes,base_quant_score,enhanced_screener_score,screener_data_available,company_name_screener,screener_url,fetched_at,used_cache,status,roce_percent,roe_percent_screener,sales_growth_5y,profit_growth_5y,promoter_holding,promoter_holding_change_4q,promoter_pledge_percent,fii_holding,dii_holding,fii_holding_change_4q,dii_holding_change_4q,operating_cash_flow_5y,capex_5y,free_cash_flow_5y,cash_conversion_5y,fcf_calculation_method,current_pe,median_pe_5y,price_to_median_pe,latest_quarter_sales_growth,latest_quarter_profit_growth,quarterly_sales_consistency,quarterly_profit_consistency,net_interest_margin,gross_npa_percent,net_npa_percent,casa_ratio,capital_adequacy_ratio,data_completeness_score,sector_scoring_group
MAHABANK,MAHABANK.NS,Bank of Maharashtra,Bank of Maharashtra,INE457A01014,Financial Services,Banks - Regional,78.48,60363.32,8.016343,,1.6910514,22.961001,,21.8,34.2,53.40899999999999,57.523,278.0,,0.774,94.5,51.71,0.6256,79.0,100.0,100.0,100.0,88.45,81.93,100.0,99.86,89.5,81.01,92.65,92.49,92.94,92.94,391.6,313.28,352.44,469.92,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Sector-specific manual review required: bank,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",92.2,94.66,True,Bank of Maharashtra,https://www.screener.in/company/MAHABANK/consolidated/,2026-07-23T13:39:43,False,ok,6.03,22.6,65.0,28.0,73.6,-6.0,,5.82,14.28,3.93,3.88,13329.0,1041.6,12287.4,0.498,investing_cash_flow_proxy_discounted,8.01,,,13.91,34.51,100.0,100.0,,,,,,84.62,bank
COALINDIA,COALINDIA.NS,Coal India Limited,Coal India Limited,INE522F01014,Energy,Thermal Coal,427.05,263179.31,8.520551,7.4373555,2.2094889,28.124002,11.629,16.2,12.9,18.465,20.922,490.00000000000006,1.3897921473873944,-0.037,491.25,368.65,0.4763,97.03,81.43,100.0,100.0,93.94,94.1,91.64,80.58,98.52,99.76,93.39,95.47,92.7,92.7,1884.51,1507.61,1696.06,2261.41,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",94.49,88.54,True,Coal India Ltd,https://www.screener.in/company/COALINDIA/consolidated/,2026-07-23T13:39:37,False,ok,35.3,28.5,20.0,24.0,61.13,-2.0,,10.37,22.2,2.21,-0.46,167359.0,58618.2,108740.8,1.095,investing_cash_flow_proxy_discounted,8.47,,,22.91,13.71,25.0,25.0,,,,,,84.62,commodity_cyclical
GESHIP,GESHIP.NS,The Great Eastern Shipping Company Limited,The Great Eastern Shipping Company Limited,INE017A01032,Industrials,Marine Shipping,1441.9,20585.96,7.0110865,7.3155756,1.2135949,18.849,6.409,23.6,187.5,54.400000000000006,37.112,326.0,0.969872784042454,0.461,1798.0,913.1,0.5976,94.61,100.0,100.0,85.29,97.04,99.91,100.0,97.9,97.31,97.06,95.91,93.05,92.41,92.41,8226.4,6581.12,7403.76,9871.68,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",95.52,85.16,True,Great Eastern Shipping Company Ltd,https://www.screener.in/company/GESHIP/consolidated/,2026-07-23T13:39:30,False,ok,15.8,15.9,24.0,32.0,30.08,0.0,,31.03,12.81,6.39,-2.3,12607.0,1304.4,11302.6,1.135,investing_cash_flow_proxy_discounted,8.28,,,23.55,187.6,50.0,75.0,,,,,,84.62,commodity_cyclical
NMDC,NMDC.NS,NMDC Limited,NMDC Limited,INE584A01023,Basic Materials,Steel,82.64,72655.58,9.826397,8.06347,2.1291287,23.363,18.802,61.9,37.7,23.231001000000003,21.968001,420.0,0.670538583516545,0.618,97.49,68.19,0.4932,92.97,100.0,100.0,100.0,92.36,93.47,100.0,98.27,96.48,98.68,97.54,95.14,91.31,91.31,336.4,269.12,302.76,403.68,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",96.92,78.21,True,NMDC Ltd,https://www.screener.in/company/NMDC/consolidated/,2026-07-23T13:39:24,False,ok,27.6,23.4,4.0,13.0,60.79,0.0,,13.59,13.8,1.38,-0.68,23064.0,7574.4,15489.6,0.667,investing_cash_flow_proxy_discounted,9.75,,,61.93,37.24,100.0,50.0,,,,,,84.62,commodity_cyclical
LUPIN,LUPIN.NS,Lupin Limited,Lupin Limited,INE326A01037,Healthcare,Drug Manufacturers - Specialty & Generic,2396.3,109567.19,20.570866,23.425827,4.880279,26.907,29.388,31.9,89.0,19.073999,24.219999,75.0,1.375345948797773,0.18,2529.5,1836.8,0.8077,96.62,100.0,78.62,100.0,91.5,72.25,97.77,99.55,87.62,97.09,94.54,82.43,90.97,90.97,4659.6,3727.68,4193.64,5591.52,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",91.2,90.42,True,Lupin Ltd,cache,2026-07-23T13:40:06,True,ok,29.9,28.7,37.0,16.0,46.85,-0.06,,21.7,25.32,0.24,-0.09,16246.0,5846.4,10399.6,1.707,investing_cash_flow_proxy_discounted,20.1,,,31.9,87.85,100.0,100.0,,,,,,84.62,commodity_cyclical
HINDZINC,HINDZINC.NS,Hindustan Zinc Limited,Hindustan Zinc Limited,INE267A01025,Basic Materials,Other Industrial Metals & Mining,531.15,224427.82,16.183731,12.103683,9.917657,76.941,39.034,43.0,67.5,35.115,53.36300000000001,392.0,1.2296124210427315,0.673,733.0,413.5,0.3682,96.37,100.0,75.84,100.0,93.17,68.19,99.53,100.0,86.11,95.64,93.9,90.39,89.9,89.9,1312.8,1050.24,1181.52,1575.36,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",92.16,84.62,True,Hindustan Zinc Ltd,https://www.screener.in/company/HINDZINC/consolidated/,2026-07-23T13:39:50,False,ok,69.5,76.6,12.0,10.0,60.71,-1.13,,2.2,4.96,0.84,0.15,72367.0,4585.8,67781.2,1.389,investing_cash_flow_proxy_discounted,16.3,,,49.05,67.6,75.0,75.0,,,,,,84.62,commodity_cyclical
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Limited,Hero MotoCorp Limited,INE158A01026,Consumer Cyclical,Auto Manufacturers,5173.8,103524.09,18.200941,16.349335,4.790223,28.027,3.57,30.2,25.7,12.109999,13.216,371.0,1.4481036241102088,0.504,6388.5,4195.0,0.4462,89.35,100.0,82.25,100.0,79.94,77.22,98.72,92.81,85.8,100.0,92.72,90.75,89.41,89.41,11370.4,9096.32,10233.36,13644.48,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",91.41,84.76,True,Hero MotoCorp Ltd,https://www.screener.in/company/HEROMOTOCO/consolidated/,2026-07-23T13:39:59,False,ok,35.2,28.1,16.0,13.0,34.73,-0.01,,31.09,24.26,4.04,-3.51,22253.0,5191.2,17061.8,1.17,investing_cash_flow_proxy_discounted,18.0,,,30.17,26.09,75.0,100.0,,,,,,84.62,auto
IOB,IOB.NS,Indian Overseas Bank,Indian Overseas Bank,INE565A01014,Financial Services,Banks - Regional,33.82,65125.79,11.348993,37.577778,1.7606331,16.525999,,48.1,45.9,36.560002,37.078997,,,0.282,41.8,31.2,0.2472,73.53,100.0,98.78,100.0,85.2,70.61,100.0,96.35,86.16,82.0,90.49,99.63,88.87,88.87,119.2,83.44,101.32,143.04,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Sector-specific manual review required: bank,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",91.74,82.17,True,Indian Overseas Bank,cache,2026-07-23T13:39:56,True,ok,6.12,15.6,48.0,6.0,92.44,-2.17,,0.47,4.29,0.39,1.92,-1808.0,1311.6,-3119.6,-0.118,investing_cash_flow_proxy_discounted,12.0,,,11.19,42.49,100.0,100.0,,,,,,84.62,bank
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Limited,Muthoot Finance Limited,INE414G01012,Financial Services,Credit Services,3010.4,120858.07,11.4086485,8.96019,3.0886257,30.406,379.707,53.7,126.7,55.206,78.154,99.0,-4.475084696322002,0.501,4149.5,2476.6,0.3191,72.0,100.0,96.29,100.0,83.86,69.4,100.0,100.0,84.15,64.0,89.46,97.5,88.8,88.8,10554.8,7388.36,8971.58,12665.76,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Debt/equity above 200%; Weak cash conversion; Sector-specific manual review required: nbfc,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",90.36,85.17,True,Muthoot Finance Ltd,https://www.screener.in/company/MUTHOOTFIN/consolidated/,2026-07-23T13:40:09,False,ok,15.8,30.9,23.0,14.0,73.35,0.0,,11.61,10.75,0.77,-1.46,-91923.0,1032.6,-92955.6,-3.268,investing_cash_flow_proxy_discounted,11.4,,,65.23,135.25,100.0,100.0,,,,,,84.62,nbfc
INDIANB,INDIANB.NS,Indian Bank,Indian Bank,INE562A01011,Financial Services,Banks - Regional,827.3,111434.32,8.71576,7.574406,1.3281147,16.171,,10.3,47.5,36.413,48.043,221.0,,0.289,1000.9,606.0,0.5604,73.17,87.18,100.0,100.0,85.24,84.2,94.23,86.41,86.59,82.0,86.76,93.79,88.65,88.65,3796.8,2657.76,3227.28,4556.16,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Sector-specific manual review required: bank,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,"Investor-style free-data prototype. Uses yfinance/NSE data only. Validate using Screener, NSE/BSE filings, annual reports, concalls, promoter pledge, shareholding pattern, auditor notes, and sector-specific ratios before real investing. Banks, NBFCs and insurance companies need separate models.",88.15,89.81,True,Indian Bank,https://www.screener.in/company/INDIANB/consolidated/,2026-07-23T13:40:43,False,ok,6.32,15.4,30.0,43.0,73.84,0.0,,6.16,17.03,1.62,-1.02,28450.0,1207.8,27242.2,0.572,investing_cash_flow_proxy_discounted,8.71,,,11.11,47.43,100.0,100.0,,,,,,84.62,bank
